"iso3c","iso2c","capital_city","longitude","latitude","region","region_iso3c","income_level","income_level_iso3c","lending_type","standard_imf","bop_imf","short_name","long_name","wb2code","cen_popu","cen_agri","cen_bizz","svy_hous","svy_agri","svy_labr","svy_hlth","svy_bizz","system_na","baseyr_na","classif_industry","cpi_year","classif_hh_consump","compil_finance","compil_monetary","bizz_process","classif_emp","status_account","nso_name","nso_uri","wb_uri","spi_gap_url"
"BHS","BS","Nassau",-77.339,25.0661,"Latin America & Caribbean","LCN","High income","HIC","Not classified","Enhanced General Data Dissemination System (e-GDDS)","BPM6","The Bahamas","Commonwealth of The Bahamas","BS","2022",NA,NA,"2013",NA,"2023",NA,"2010","2008 System of National Accounts methodology","2018","rev4","2014","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"cash recording basis"," Department of Statistics","http://statistics.bahamas.gov.bs/",NA,NA
"BIH","BA","Sarajevo",18.4214,43.8607,"Europe & Central Asia","ECS","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Bosnia and Herzegovina","Bosnia and Herzegovina","BA","2013",NA,NA,"2015",NA,"2023","2011","2019","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4",NA,"COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"noncash recording basis"," Agency for Statistics of Bosnia and Herzegovina","http://www.bhas.ba/","https://www.worldbank.org/en/country/bosniaandherzegovina",NA
"BLR","BY","Minsk",27.5766,53.9678,"Europe & Central Asia","ECS","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Belarus","Republic of Belarus","BY","2019","2019",NA,"2020",NA,"2022","2019",NA,"2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","cash recording basis"," National Statistical Committee of the Republic of Belarus","http://belstat.gov.by/","https://www.worldbank.org/en/country/belarus",NA
"BLZ","BZ","Belmopan",-88.7713,17.2534,"Latin America & Caribbean","LCN","Upper middle income","UMC","Blend","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Belize","Belize","BZ","2022","2018",NA,"2011",NA,"2023","2015","2016","2008 System of National Accounts methodology","2014","Rev3","2020","COICOP 2018","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Statistical Institute of Belize","http://sib.org.bz/","https://www.worldbank.org/en/country/caribbean",NA
"BMU","BM","Hamilton",-64.706,32.3293,"North America","NAC","High income","HIC","Not classified",NA,"BPM6","Bermuda","The Bermudas","BM",NA,NA,NA,NA,NA,"2014",NA,NA,"2008 System of National Accounts methodology","2013",NA,NA,NA,NA,NA,NA,NA,NA," Department of Statistics","http://www.seaexpress.bm/portal/server.pt?open=512&objID=227&mode=2&in_hi_userid=2&cached=true",NA,NA
"BOL","BO","La Paz",-66.1936,-13.9908,"Latin America & Caribbean","LCN","Lower middle income","LMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Bolivia","Plurinational State of Bolivia","BO","2012","2013",NA,"2021","2015","2023","2016","2018","1993 System of National Accounts methodology","2013","rev4","2016","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Instituto Nacional de Estadística","http://www.ine.gob.bo/","https://www.worldbank.org/en/country/bolivia",NA
"BRA","BR","Brasilia",-47.9292,-15.7801,"Latin America & Caribbean","LCN","Upper middle income","UMC","IBRD","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Brazil","Federative Republic of Brazil","BR","2022","2017",NA,"2022","2019","2017","2019","2018","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","1993","Non-COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"noncash recording basis"," Instituto Brasileiro de Geografia e Estatística (IBGE)","http://www.ibge.gov.br/","https://www.worldbank.org/en/country/brazil",NA
"BRB","BB","Bridgetown",-59.6105,13.0935,"Latin America & Caribbean","LCN","High income","HIC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Barbados","Barbados","BB","2021",NA,NA,NA,NA,"2019","2012","2010","2008 System of National Accounts methodology","2010","rev4","annual chained","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"cash recording basis"," Barbados Statistical Service","http://www.barstats.gov.bb/",NA,NA
"BRN","BN","Bandar Seri Begawan",114.946,4.94199,"East Asia & Pacific","EAS","High income","HIC","Not classified","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Brunei","Brunei Darussalam","BN","2021",NA,NA,"2015",NA,"2022",NA,"2021","2008 System of National Accounts methodology","2010","rev3","2015","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Statistics- Department of Economic Planning and Development","http://www.depd.gov.bn/dept_dos.html",NA,NA
"BTN","BT","Thimphu",89.6177,27.5768,"South Asia","SAS","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Bhutan","Kingdom of Bhutan","BT","2017","2019","2017","2022",NA,"2023","2014",NA,"1993 System of National Accounts methodology","2017","ISIC rev2","2019","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," National Statistics Bureau","http://www.nsb.gov.bt/","https://www.worldbank.org/en/country/bhutan",NA
"BWA","BW","Gaborone",25.9201,-24.6544,"Sub-Saharan Africa","SSF","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Botswana","Republic of Botswana","BW","2022","2015",NA,"2015","2019","2006","2014","2010","2008 System of National Accounts methodology","2016","rev4","2018","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Central Statistical Office","http://www.cso.gov.bw/","https://www.worldbank.org/en/country/botswana",NA
"CAF","CF","Bangui",21.6407,5.63056,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM5 (Converted into BPM6 by IMF)","Central African Republic","Central African Republic","CF","2003",NA,NA,"2021","2022",NA,"2018",NA,"2008 System of National Accounts methodology","2019","rev3","2019","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Direction Générale de la Statistiques, des Etudes Economiques et Sociales","http://www.stat-centrafrique.com/","https://www.worldbank.org/en/country/centralafricanrepublic",NA
"CAN","CA","Ottawa",-75.6919,45.4215,"North America","NAC","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Canada","Canada","CA","2016","2021",NA,"2022","2023","2023","2023","2023","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","NAICS","noncash recording basis"," Statistics Canada","http://www.statcan.gc.ca/","https://www.worldbank.org/en/country/canada",NA
"CHE","CH","Bern",7.44821,46.948,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Switzerland","Switzerland","CH","2021","2020",NA,"2022","2020","2023","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","2014","SRFs Not Reported",NA,NA,"noncash recording basis"," Swiss Federal Statistical Office","http://www.bfs.admin.ch/","https://www.worldbank.org/en/country/switzerland",NA
"CHI","JG",NA,NA,NA,"Europe & Central Asia","ECS","High income","HIC","Not classified",NA,NA,"Channel Islands","Channel Islands","JG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHL","CL","Santiago",-70.6475,-33.475,"Latin America & Caribbean","LCN","High income","HIC","IBRD","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Chile","Republic of Chile","CL","2017","2021",NA,"2022",NA,"2023","2004","2018","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2018","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","noncash recording basis"," Instituto Nacional de Estadísticas","http://www.ine.cl/","https://www.worldbank.org/en/country/chile",NA
"CHN","CN","Beijing",116.286,40.0495,"East Asia & Pacific","EAS","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","China","People's Republic of China","CN","2020","2016","2019","2020","2014","2011","2007",NA,"2008 System of National Accounts methodology","2015","rev4","2020","Non-COICOP","2001","SRFs Not Reported","Generic Statistical Business Process Model (GSBPM)",NA,"cash recording basis"," National Bureau of Statistics of China","http://www.stats.gov.cn/","https://www.worldbank.org/en/country/china",NA
"CIV","CI","Yamoussoukro",-4.0305,5.332,"Sub-Saharan Africa","SSF","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Côte d'Ivoire","Republic of Côte d'Ivoire","CI","2021","2015",NA,"2021","2016","2019","2016","2017","2008 System of National Accounts methodology","2015","rev3","2014","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"noncash recording basis"," Institut National de la Statistique","http://www.ins.ci/","https://www.worldbank.org/en/country/cotedivoire",NA
"CMR","CM","Yaounde",11.5174,3.8721,"Sub-Saharan Africa","SSF","Lower middle income","LMC","Blend","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Cameroon","Republic of Cameroon","CM","2005",NA,"2016","2021","2022","2010","2018","2019","2008 System of National Accounts methodology","2016","rev4","2011","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Institut Nationalde la Statistique","http://www.statistics-cameroon.org/","https://www.worldbank.org/en/country/cameroon ",NA
"COD","CD","Kinshasa",15.3222,-4.325,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Dem. Rep. Congo","Democratic Republic of the Congo","ZR",NA,NA,NA,"2020","2022","2021","2017","2014","1993 System of National Accounts methodology","2005","rev3","2009","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA,NA,NA,"https://www.worldbank.org/en/country/drc",NA
"COG","CG","Brazzaville",15.2662,-4.2767,"Sub-Saharan Africa","SSF","Lower middle income","LMC","Blend","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Congo","Republic of Congo","CG","2007","2015",NA,"2011",NA,"2009","2014",NA,"1993 System of National Accounts methodology","2005","ISIC rev3","2018","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Centre National de la Statistique et des Etudes Economiques","http://www.cnsee.org/","https://www.worldbank.org/en/country/congo",NA
"COL","CO","Bogota",-74.082,4.60987,"Latin America & Caribbean","LCN","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Colombia","Republic of Colombia","CO","2018","2014",NA,"2022","2022","2023","2015","2019","2008 System of National Accounts methodology","2015","rev4","annual chained","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Departamento Administrativo Nacional de Estadística (DANE)","http://www.dane.gov.co/","https://www.worldbank.org/en/country/colombia",NA
"COM","KM","Moroni",43.2418,-11.6986,"Sub-Saharan Africa","SSF","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM5 (Converted into BPM6 by IMF)","Comoros","Union of the Comoros","KM","2017","2004",NA,"2019",NA,"2021","2012",NA,"2008 System of National Accounts methodology","2007",NA,"1999","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise",NA,NA,"https://www.worldbank.org/en/country/comoros",NA
"CPV","CV","Praia",-23.5087,14.9218,"Sub-Saharan Africa","SSF","Lower middle income","LMC","Blend","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Cabo Verde","Republic of Cabo Verde","CV","2021","2015","2018","2015",NA,"2019","2005","2018","2008 System of National Accounts methodology","2015","ISIC rev2","2018","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"cash recording basis"," Instituto Nacional de Estatistica","http://www.ine.cv/","https://www.worldbank.org/en/country/caboverde",NA
"CRI","CR","San Jose",-84.0089,9.63701,"Latin America & Caribbean","LCN","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Costa Rica","Republic of Costa Rica","CR","2022","2014",NA,"2022","2019","2023","2018","2017","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2020","COICOP 2018","2001","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Instituto Nacional de Estadística y Censos","http://www.inec.go.cr/","https://www.worldbank.org/en/country/costarica",NA
"CUB","CU","Havana",-82.3667,23.1333,"Latin America & Caribbean","LCN","Upper middle income","UMC","Not classified",NA,NA,"Cuba","Republic of Cuba","CU","2002",NA,NA,NA,NA,NA,"2019",NA,"1993 System of National Accounts methodology","1997",NA,NA,NA,NA,NA,NA,NA,NA," Oficina Nacional de Estadísticas","http://www.one.cu/",NA,NA
"CUW","CW","Willemstad",NA,NA,"Latin America & Caribbean","LCN","High income","HIC","Not classified",NA,"BPM6","Curaçao","Curaçao","CW",NA,NA,NA,NA,NA,NA,NA,NA,"2008 System of National Accounts methodology","2011",NA,NA,NA,NA,NA,NA,NA,NA," Central Bureau of Statistics","http://www.cbs.cw/",NA,NA
"CYM","KY","George Town",-81.3857,19.3022,"Latin America & Caribbean","LCN","High income","HIC","Not classified",NA,NA,"Cayman Islands","Cayman Islands","KY",NA,NA,NA,NA,NA,"2015","2006",NA,"2008 System of National Accounts methodology","2015",NA,NA,NA,NA,NA,NA,NA,NA," Economics and Statistics Office","http://www.eso.ky/",NA,NA
"CYP","CY","Nicosia",33.3736,35.1676,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Cyprus","Republic of Cyprus","CY","2021","2020",NA,"2022","2020","2023","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2015","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Statistical Service of the Republica of Cyprus","http://www.mof.gov.cy/mof/cystat/statistics.nsf",NA,NA
"CZE","CZ","Prague",14.4205,50.0878,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Czechia","Czech Republic","CZ","2021","2020",NA,"2022","2020","2022","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2015","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Czech Statistical Office","http://www.czso.cz/","https://www.worldbank.org/en/country/eu",NA
"DEU","DE","Berlin",13.4115,52.5235,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Germany","Federal Republic of Germany","DE","2022","2020",NA,"2022","2020","2022","2020","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2020","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Federal Statistical Office","http://www.destatis.de/","https://www.worldbank.org/en/country/germany",NA
"DJI","DJ","Djibouti",43.1425,11.5806,"Middle East & North Africa","MEA","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM5 (Converted into BPM6 by IMF)","Djibouti","Republic of Djibouti","DJ","2009",NA,NA,"2017",NA,NA,"2021",NA,"2008 System of National Accounts methodology","2013","ISIC rev2","2013","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Ministère de l'Economie, des Finances et de la Planification, chargé de la Privatisation","http://www.ministere-finances.dj/","https://www.worldbank.org/en/country/djibouti",NA
"DMA","DM","Roseau",-61.39,15.2976,"Latin America & Caribbean","LCN","Upper middle income","UMC","Blend","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Dominica","Commonwealth of Dominica","DM","2022",NA,NA,"2008",NA,NA,"2009",NA,"1993 System of National Accounts methodology","2006","rev3","2010","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA,NA,NA,"https://www.worldbank.org/en/country/caribbean",NA
"DNK","DK","Copenhagen",12.5681,55.6763,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Denmark","Kingdom of Denmark","DK","2021","2020",NA,"2022","2020","2022","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"noncash recording basis"," Statistics Denmark","http://www.dst.dk/","https://www.worldbank.org/en/country/denmark",NA
"DOM","DO","Santo Domingo",-69.8908,18.479,"Latin America & Caribbean","LCN","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Dominican Republic","Dominican Republic","DO","2022","2015",NA,"2022",NA,"2023","2019",NA,"2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2019","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"noncash recording basis"," Oficina Nacional de Estadística","http://www.one.gob.do/","https://www.worldbank.org/en/country/dominicanrepublic",NA
