"iso3c","short_name","type","value","label","axis","year_lab"
"AND","Andorra","cen_popu",2021,"Population & Housing census","value","2021"
"AND","Andorra","svy_hlth",2019,"Health/Demographic survey","value","2019"
"AND","Andorra","cen_agri",,"Agriculture census","value",
"AND","Andorra","svy_agri",,"Agriculture survey","value",
"AND","Andorra","cen_bizz",,"Business/establishment census","value",
"AND","Andorra","svy_bizz",,"Business/establishment survey","value",
"AND","Andorra","svy_hous",2021,"Household Survey on income/consumption/etc.","value","2021"
"AND","Andorra","svy_labr",2022,"Labor Force Survey","value","2022"
"AGO","Angola","cen_popu",2014,"Population & Housing census","value","2014"
"AGO","Angola","svy_hlth",2015,"Health/Demographic survey","value","2015"
"AGO","Angola","cen_agri",2019,"Agriculture census","value","2019"
"AGO","Angola","svy_agri",,"Agriculture survey","value",
"AGO","Angola","cen_bizz",2021,"Business/establishment census","value","2021"
"AGO","Angola","svy_bizz",2018,"Business/establishment survey","value","2018"
"AGO","Angola","svy_hous",2018,"Household Survey on income/consumption/etc.","value","2018"
"AGO","Angola","svy_labr",2021,"Labor Force Survey","value","2021"
"ATG","Antigua and Barbuda","cen_popu",2011,"Population & Housing census","value","2011"
"ATG","Antigua and Barbuda","svy_hlth",2009,"Health/Demographic survey","value","2009"
"ATG","Antigua and Barbuda","cen_agri",2007,"Agriculture census","value","2007"
"ATG","Antigua and Barbuda","svy_agri",,"Agriculture survey","value",
"ATG","Antigua and Barbuda","cen_bizz",,"Business/establishment census","value",
"ATG","Antigua and Barbuda","svy_bizz",,"Business/establishment survey","value",
"ATG","Antigua and Barbuda","svy_hous",2005,"Household Survey on income/consumption/etc.","value","2005"
"ATG","Antigua and Barbuda","svy_labr",,"Labor Force Survey","value",
"ARG","Argentina","cen_popu",2022,"Population & Housing census","value","2022"
"ARG","Argentina","svy_hlth",2019,"Health/Demographic survey","value","2019"
"ARG","Argentina","cen_agri",2018,"Agriculture census","value","2018"
"ARG","Argentina","svy_agri",2018,"Agriculture survey","value","2018"
"ARG","Argentina","cen_bizz",2020,"Business/establishment census","value","2020"
"ARG","Argentina","svy_bizz",2010,"Business/establishment survey","value","2010"
"ARG","Argentina","svy_hous",2018,"Household Survey on income/consumption/etc.","value","2018"
"ARG","Argentina","svy_labr",2023,"Labor Force Survey","value","2023"
"ARM","Armenia","cen_popu",2011,"Population & Housing census","value","2011"
"ARM","Armenia","svy_hlth",2015,"Health/Demographic survey","value","2015"
"ARM","Armenia","cen_agri",2014,"Agriculture census","value","2014"
"ARM","Armenia","svy_agri",2008,"Agriculture survey","value","2008"
"ARM","Armenia","cen_bizz",,"Business/establishment census","value",
"ARM","Armenia","svy_bizz",,"Business/establishment survey","value",
"ARM","Armenia","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"ARM","Armenia","svy_labr",2022,"Labor Force Survey","value","2022"
"ABW","Aruba","cen_popu",,"Population & Housing census","value",
"ABW","Aruba","svy_hlth",,"Health/Demographic survey","value",
"ABW","Aruba","cen_agri",,"Agriculture census","value",
"ABW","Aruba","svy_agri",,"Agriculture survey","value",
"ABW","Aruba","cen_bizz",,"Business/establishment census","value",
"ABW","Aruba","svy_bizz",,"Business/establishment survey","value",
"ABW","Aruba","svy_hous",,"Household Survey on income/consumption/etc.","value",
"ABW","Aruba","svy_labr",2014,"Labor Force Survey","value","2014"
"AUS","Australia","cen_popu",2016,"Population & Housing census","value","2016"
"AUS","Australia","svy_hlth",2022,"Health/Demographic survey","value","2022"
"AUS","Australia","cen_agri",2015,"Agriculture census","value","2015"
"AUS","Australia","svy_agri",2022,"Agriculture survey","value","2022"
"AUS","Australia","cen_bizz",,"Business/establishment census","value",
"AUS","Australia","svy_bizz",2021,"Business/establishment survey","value","2021"
"AUS","Australia","svy_hous",2020,"Household Survey on income/consumption/etc.","value","2020"
"AUS","Australia","svy_labr",2023,"Labor Force Survey","value","2023"
"AUT","Austria","cen_popu",2021,"Population & Housing census","value","2021"
"AUT","Austria","svy_hlth",2019,"Health/Demographic survey","value","2019"
"AUT","Austria","cen_agri",2020,"Agriculture census","value","2020"
"AUT","Austria","svy_agri",2020,"Agriculture survey","value","2020"
"AUT","Austria","cen_bizz",,"Business/establishment census","value",
"AUT","Austria","svy_bizz",2021,"Business/establishment survey","value","2021"
"AUT","Austria","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"AUT","Austria","svy_labr",2023,"Labor Force Survey","value","2023"
"AZE","Azerbaijan","cen_popu",2019,"Population & Housing census","value","2019"
"AZE","Azerbaijan","svy_hlth",2006,"Health/Demographic survey","value","2006"
"AZE","Azerbaijan","cen_agri",2015,"Agriculture census","value","2015"
"AZE","Azerbaijan","svy_agri",,"Agriculture survey","value",
"AZE","Azerbaijan","cen_bizz",,"Business/establishment census","value",
"AZE","Azerbaijan","svy_bizz",,"Business/establishment survey","value",
"AZE","Azerbaijan","svy_hous",2018,"Household Survey on income/consumption/etc.","value","2018"
"AZE","Azerbaijan","svy_labr",2022,"Labor Force Survey","value","2022"
"BHR","Bahrain","cen_popu",2020,"Population & Housing census","value","2020"
"BHR","Bahrain","svy_hlth",2018,"Health/Demographic survey","value","2018"
"BHR","Bahrain","cen_agri",,"Agriculture census","value",
"BHR","Bahrain","svy_agri",,"Agriculture survey","value",
"BHR","Bahrain","cen_bizz",,"Business/establishment census","value",
"BHR","Bahrain","svy_bizz",2006,"Business/establishment survey","value","2006"
"BHR","Bahrain","svy_hous",2014,"Household Survey on income/consumption/etc.","value","2014"
"BHR","Bahrain","svy_labr",2013,"Labor Force Survey","value","2013"
"BGD","Bangladesh","cen_popu",2022,"Population & Housing census","value","2022"
"BGD","Bangladesh","svy_hlth",2019,"Health/Demographic survey","value","2019"
"BGD","Bangladesh","cen_agri",2019,"Agriculture census","value","2019"
"BGD","Bangladesh","svy_agri",2022,"Agriculture survey","value","2022"
"BGD","Bangladesh","cen_bizz",,"Business/establishment census","value",
"BGD","Bangladesh","svy_bizz",2010,"Business/establishment survey","value","2010"
"BGD","Bangladesh","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"BGD","Bangladesh","svy_labr",2022,"Labor Force Survey","value","2022"
"BRB","Barbados","cen_popu",2021,"Population & Housing census","value","2021"
"BRB","Barbados","svy_hlth",2012,"Health/Demographic survey","value","2012"
"BRB","Barbados","cen_agri",,"Agriculture census","value",
"BRB","Barbados","svy_agri",,"Agriculture survey","value",
"BRB","Barbados","cen_bizz",,"Business/establishment census","value",
"BRB","Barbados","svy_bizz",2010,"Business/establishment survey","value","2010"
"BRB","Barbados","svy_hous",,"Household Survey on income/consumption/etc.","value",
"BRB","Barbados","svy_labr",2019,"Labor Force Survey","value","2019"
"BLR","Belarus","cen_popu",2019,"Population & Housing census","value","2019"
"BLR","Belarus","svy_hlth",2019,"Health/Demographic survey","value","2019"
"BLR","Belarus","cen_agri",2019,"Agriculture census","value","2019"
"BLR","Belarus","svy_agri",,"Agriculture survey","value",
"BLR","Belarus","cen_bizz",,"Business/establishment census","value",
"BLR","Belarus","svy_bizz",,"Business/establishment survey","value",
"BLR","Belarus","svy_hous",2020,"Household Survey on income/consumption/etc.","value","2020"
"BLR","Belarus","svy_labr",2022,"Labor Force Survey","value","2022"
"BEL","Belgium","cen_popu",2021,"Population & Housing census","value","2021"
"BEL","Belgium","svy_hlth",2019,"Health/Demographic survey","value","2019"
"BEL","Belgium","cen_agri",2020,"Agriculture census","value","2020"
"BEL","Belgium","svy_agri",2020,"Agriculture survey","value","2020"
"BEL","Belgium","cen_bizz",,"Business/establishment census","value",
"BEL","Belgium","svy_bizz",2021,"Business/establishment survey","value","2021"
"BEL","Belgium","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"BEL","Belgium","svy_labr",2022,"Labor Force Survey","value","2022"
"BLZ","Belize","cen_popu",2022,"Population & Housing census","value","2022"
"BLZ","Belize","svy_hlth",2015,"Health/Demographic survey","value","2015"
"BLZ","Belize","cen_agri",2018,"Agriculture census","value","2018"
"BLZ","Belize","svy_agri",,"Agriculture survey","value",
"BLZ","Belize","cen_bizz",,"Business/establishment census","value",
"BLZ","Belize","svy_bizz",2016,"Business/establishment survey","value","2016"
"BLZ","Belize","svy_hous",2011,"Household Survey on income/consumption/etc.","value","2011"
"BLZ","Belize","svy_labr",2023,"Labor Force Survey","value","2023"
"BEN","Benin","cen_popu",2023,"Population & Housing census","value","2023"
"BEN","Benin","svy_hlth",2017,"Health/Demographic survey","value","2017"
"BEN","Benin","cen_agri",2019,"Agriculture census","value","2019"
"BEN","Benin","svy_agri",,"Agriculture survey","value",
"BEN","Benin","cen_bizz",2008,"Business/establishment census","value","2008"
"BEN","Benin","svy_bizz",,"Business/establishment survey","value",
"BEN","Benin","svy_hous",2021,"Household Survey on income/consumption/etc.","value","2021"
"BEN","Benin","svy_labr",2018,"Labor Force Survey","value","2018"
"BMU","Bermuda","cen_popu",,"Population & Housing census","value",
"BMU","Bermuda","svy_hlth",,"Health/Demographic survey","value",
"BMU","Bermuda","cen_agri",,"Agriculture census","value",
"BMU","Bermuda","svy_agri",,"Agriculture survey","value",
"BMU","Bermuda","cen_bizz",,"Business/establishment census","value",
"BMU","Bermuda","svy_bizz",,"Business/establishment survey","value",
"BMU","Bermuda","svy_hous",,"Household Survey on income/consumption/etc.","value",
"BMU","Bermuda","svy_labr",2014,"Labor Force Survey","value","2014"
"BTN","Bhutan","cen_popu",2017,"Population & Housing census","value","2017"
"BTN","Bhutan","svy_hlth",2014,"Health/Demographic survey","value","2014"
"BTN","Bhutan","cen_agri",2019,"Agriculture census","value","2019"
"BTN","Bhutan","svy_agri",,"Agriculture survey","value",
"BTN","Bhutan","cen_bizz",2017,"Business/establishment census","value","2017"
"BTN","Bhutan","svy_bizz",,"Business/establishment survey","value",
"BTN","Bhutan","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"BTN","Bhutan","svy_labr",2023,"Labor Force Survey","value","2023"
"BOL","Bolivia","cen_popu",2012,"Population & Housing census","value","2012"
"BOL","Bolivia","svy_hlth",2016,"Health/Demographic survey","value","2016"
"BOL","Bolivia","cen_agri",2013,"Agriculture census","value","2013"
"BOL","Bolivia","svy_agri",2015,"Agriculture survey","value","2015"
"BOL","Bolivia","cen_bizz",,"Business/establishment census","value",
"BOL","Bolivia","svy_bizz",2018,"Business/establishment survey","value","2018"
"BOL","Bolivia","svy_hous",2021,"Household Survey on income/consumption/etc.","value","2021"
"BOL","Bolivia","svy_labr",2023,"Labor Force Survey","value","2023"
"BIH","Bosnia and Herzegovina","cen_popu",2013,"Population & Housing census","value","2013"
"BIH","Bosnia and Herzegovina","svy_hlth",2011,"Health/Demographic survey","value","2011"
"BIH","Bosnia and Herzegovina","cen_agri",,"Agriculture census","value",
"BIH","Bosnia and Herzegovina","svy_agri",,"Agriculture survey","value",
"BIH","Bosnia and Herzegovina","cen_bizz",,"Business/establishment census","value",
"BIH","Bosnia and Herzegovina","svy_bizz",2019,"Business/establishment survey","value","2019"
"BIH","Bosnia and Herzegovina","svy_hous",2015,"Household Survey on income/consumption/etc.","value","2015"
"BIH","Bosnia and Herzegovina","svy_labr",2023,"Labor Force Survey","value","2023"
"BWA","Botswana","cen_popu",2022,"Population & Housing census","value","2022"
"BWA","Botswana","svy_hlth",2014,"Health/Demographic survey","value","2014"
"BWA","Botswana","cen_agri",2015,"Agriculture census","value","2015"
"BWA","Botswana","svy_agri",2019,"Agriculture survey","value","2019"
"BWA","Botswana","cen_bizz",,"Business/establishment census","value",
"BWA","Botswana","svy_bizz",2010,"Business/establishment survey","value","2010"
"BWA","Botswana","svy_hous",2015,"Household Survey on income/consumption/etc.","value","2015"
"BWA","Botswana","svy_labr",2006,"Labor Force Survey","value","2006"
"BRA","Brazil","cen_popu",2022,"Population & Housing census","value","2022"
"BRA","Brazil","svy_hlth",2019,"Health/Demographic survey","value","2019"
"BRA","Brazil","cen_agri",2017,"Agriculture census","value","2017"
"BRA","Brazil","svy_agri",2019,"Agriculture survey","value","2019"
"BRA","Brazil","cen_bizz",,"Business/establishment census","value",
"BRA","Brazil","svy_bizz",2018,"Business/establishment survey","value","2018"
"BRA","Brazil","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"BRA","Brazil","svy_labr",2017,"Labor Force Survey","value","2017"
"VGB","British Virgin Islands","cen_popu",,"Population & Housing census","value",
"VGB","British Virgin Islands","svy_hlth",2009,"Health/Demographic survey","value","2009"
"VGB","British Virgin Islands","cen_agri",,"Agriculture census","value",
"VGB","British Virgin Islands","svy_agri",,"Agriculture survey","value",
"VGB","British Virgin Islands","cen_bizz",,"Business/establishment census","value",
"VGB","British Virgin Islands","svy_bizz",,"Business/establishment survey","value",
"VGB","British Virgin Islands","svy_hous",,"Household Survey on income/consumption/etc.","value",
"VGB","British Virgin Islands","svy_labr",,"Labor Force Survey","value",
"BRN","Brunei","cen_popu",2021,"Population & Housing census","value","2021"
"BRN","Brunei","svy_hlth",,"Health/Demographic survey","value",
"BRN","Brunei","cen_agri",,"Agriculture census","value",
"BRN","Brunei","svy_agri",,"Agriculture survey","value",
"BRN","Brunei","cen_bizz",,"Business/establishment census","value",
"BRN","Brunei","svy_bizz",2021,"Business/establishment survey","value","2021"
"BRN","Brunei","svy_hous",2015,"Household Survey on income/consumption/etc.","value","2015"
"BRN","Brunei","svy_labr",2022,"Labor Force Survey","value","2022"
"BGR","Bulgaria","cen_popu",2021,"Population & Housing census","value","2021"
"BGR","Bulgaria","svy_hlth",2019,"Health/Demographic survey","value","2019"
"BGR","Bulgaria","cen_agri",2020,"Agriculture census","value","2020"
"BGR","Bulgaria","svy_agri",2023,"Agriculture survey","value","2023"
"BGR","Bulgaria","cen_bizz",,"Business/establishment census","value",
"BGR","Bulgaria","svy_bizz",2019,"Business/establishment survey","value","2019"
"BGR","Bulgaria","svy_hous",2021,"Household Survey on income/consumption/etc.","value","2021"
"BGR","Bulgaria","svy_labr",2019,"Labor Force Survey","value","2019"
"BFA","Burkina Faso","cen_popu",2019,"Population & Housing census","value","2019"
"BFA","Burkina Faso","svy_hlth",2021,"Health/Demographic survey","value","2021"
"BFA","Burkina Faso","cen_agri",2010,"Agriculture census","value","2010"
"BFA","Burkina Faso","svy_agri",2022,"Agriculture survey","value","2022"
"BFA","Burkina Faso","cen_bizz",,"Business/establishment census","value",
"BFA","Burkina Faso","svy_bizz",2009,"Business/establishment survey","value","2009"
"BFA","Burkina Faso","svy_hous",2021,"Household Survey on income/consumption/etc.","value","2021"
"BFA","Burkina Faso","svy_labr",2023,"Labor Force Survey","value","2023"
"BDI","Burundi","cen_popu",2008,"Population & Housing census","value","2008"
"BDI","Burundi","svy_hlth",2016,"Health/Demographic survey","value","2016"
"BDI","Burundi","cen_agri",,"Agriculture census","value",
"BDI","Burundi","svy_agri",2011,"Agriculture survey","value","2011"
"BDI","Burundi","cen_bizz",,"Business/establishment census","value",
"BDI","Burundi","svy_bizz",2005,"Business/establishment survey","value","2005"
"BDI","Burundi","svy_hous",2020,"Household Survey on income/consumption/etc.","value","2020"
"BDI","Burundi","svy_labr",2005,"Labor Force Survey","value","2005"
"CPV","Cabo Verde","cen_popu",2021,"Population & Housing census","value","2021"
"CPV","Cabo Verde","svy_hlth",2005,"Health/Demographic survey","value","2005"
"CPV","Cabo Verde","cen_agri",2015,"Agriculture census","value","2015"
"CPV","Cabo Verde","svy_agri",,"Agriculture survey","value",
"CPV","Cabo Verde","cen_bizz",2018,"Business/establishment census","value","2018"
"CPV","Cabo Verde","svy_bizz",2018,"Business/establishment survey","value","2018"
"CPV","Cabo Verde","svy_hous",2015,"Household Survey on income/consumption/etc.","value","2015"
"CPV","Cabo Verde","svy_labr",2019,"Labor Force Survey","value","2019"
"KHM","Cambodia","cen_popu",2019,"Population & Housing census","value","2019"
"KHM","Cambodia","svy_hlth",2021,"Health/Demographic survey","value","2021"
"KHM","Cambodia","cen_agri",2013,"Agriculture census","value","2013"
"KHM","Cambodia","svy_agri",2019,"Agriculture survey","value","2019"
"KHM","Cambodia","cen_bizz",,"Business/establishment census","value",
"KHM","Cambodia","svy_bizz",2005,"Business/establishment survey","value","2005"
"KHM","Cambodia","svy_hous",2019,"Household Survey on income/consumption/etc.","value","2019"
"KHM","Cambodia","svy_labr",2019,"Labor Force Survey","value","2019"
"CMR","Cameroon","cen_popu",2005,"Population & Housing census","value","2005"
"CMR","Cameroon","svy_hlth",2018,"Health/Demographic survey","value","2018"
"CMR","Cameroon","cen_agri",,"Agriculture census","value",
"CMR","Cameroon","svy_agri",2022,"Agriculture survey","value","2022"
"CMR","Cameroon","cen_bizz",2016,"Business/establishment census","value","2016"
"CMR","Cameroon","svy_bizz",2019,"Business/establishment survey","value","2019"
"CMR","Cameroon","svy_hous",2021,"Household Survey on income/consumption/etc.","value","2021"
"CMR","Cameroon","svy_labr",2010,"Labor Force Survey","value","2010"
"CAN","Canada","cen_popu",2016,"Population & Housing census","value","2016"
"CAN","Canada","svy_hlth",2023,"Health/Demographic survey","value","2023"
"CAN","Canada","cen_agri",2021,"Agriculture census","value","2021"
"CAN","Canada","svy_agri",2023,"Agriculture survey","value","2023"
"CAN","Canada","cen_bizz",,"Business/establishment census","value",
"CAN","Canada","svy_bizz",2023,"Business/establishment survey","value","2023"
"CAN","Canada","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"CAN","Canada","svy_labr",2023,"Labor Force Survey","value","2023"
"CYM","Cayman Islands","cen_popu",,"Population & Housing census","value",
"CYM","Cayman Islands","svy_hlth",2006,"Health/Demographic survey","value","2006"
"CYM","Cayman Islands","cen_agri",,"Agriculture census","value",
"CYM","Cayman Islands","svy_agri",,"Agriculture survey","value",
"CYM","Cayman Islands","cen_bizz",,"Business/establishment census","value",
"CYM","Cayman Islands","svy_bizz",,"Business/establishment survey","value",
"CYM","Cayman Islands","svy_hous",,"Household Survey on income/consumption/etc.","value",
"CYM","Cayman Islands","svy_labr",2015,"Labor Force Survey","value","2015"
"CAF","Central African Republic","cen_popu",2003,"Population & Housing census","value","2003"
"CAF","Central African Republic","svy_hlth",2018,"Health/Demographic survey","value","2018"
"CAF","Central African Republic","cen_agri",,"Agriculture census","value",
"CAF","Central African Republic","svy_agri",2022,"Agriculture survey","value","2022"
"CAF","Central African Republic","cen_bizz",,"Business/establishment census","value",
"CAF","Central African Republic","svy_bizz",,"Business/establishment survey","value",
"CAF","Central African Republic","svy_hous",2021,"Household Survey on income/consumption/etc.","value","2021"
"CAF","Central African Republic","svy_labr",,"Labor Force Survey","value",
"TCD","Chad","cen_popu",2009,"Population & Housing census","value","2009"
"TCD","Chad","svy_hlth",2019,"Health/Demographic survey","value","2019"
"TCD","Chad","cen_agri",,"Agriculture census","value",
"TCD","Chad","svy_agri",2021,"Agriculture survey","value","2021"
"TCD","Chad","cen_bizz",,"Business/establishment census","value",
"TCD","Chad","svy_bizz",,"Business/establishment survey","value",
"TCD","Chad","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"TCD","Chad","svy_labr",,"Labor Force Survey","value",
"CHI","Channel Islands","cen_popu",,"Population & Housing census","value",
"CHI","Channel Islands","svy_hlth",,"Health/Demographic survey","value",
"CHI","Channel Islands","cen_agri",,"Agriculture census","value",
"CHI","Channel Islands","svy_agri",,"Agriculture survey","value",
"CHI","Channel Islands","cen_bizz",,"Business/establishment census","value",
"CHI","Channel Islands","svy_bizz",,"Business/establishment survey","value",
"CHI","Channel Islands","svy_hous",,"Household Survey on income/consumption/etc.","value",
"CHI","Channel Islands","svy_labr",,"Labor Force Survey","value",
"CHL","Chile","cen_popu",2017,"Population & Housing census","value","2017"
"CHL","Chile","svy_hlth",2004,"Health/Demographic survey","value","2004"
"CHL","Chile","cen_agri",2021,"Agriculture census","value","2021"
"CHL","Chile","svy_agri",,"Agriculture survey","value",
"CHL","Chile","cen_bizz",,"Business/establishment census","value",
"CHL","Chile","svy_bizz",2018,"Business/establishment survey","value","2018"
"CHL","Chile","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"CHL","Chile","svy_labr",2023,"Labor Force Survey","value","2023"
"CHN","China","cen_popu",2020,"Population & Housing census","value","2020"
"CHN","China","svy_hlth",2007,"Health/Demographic survey","value","2007"
"CHN","China","cen_agri",2016,"Agriculture census","value","2016"
"CHN","China","svy_agri",2014,"Agriculture survey","value","2014"
"CHN","China","cen_bizz",2019,"Business/establishment census","value","2019"
"CHN","China","svy_bizz",,"Business/establishment survey","value",
"CHN","China","svy_hous",2020,"Household Survey on income/consumption/etc.","value","2020"
"CHN","China","svy_labr",2011,"Labor Force Survey","value","2011"
"COL","Colombia","cen_popu",2018,"Population & Housing census","value","2018"
"COL","Colombia","svy_hlth",2015,"Health/Demographic survey","value","2015"
"COL","Colombia","cen_agri",2014,"Agriculture census","value","2014"
"COL","Colombia","svy_agri",2022,"Agriculture survey","value","2022"
"COL","Colombia","cen_bizz",,"Business/establishment census","value",
"COL","Colombia","svy_bizz",2019,"Business/establishment survey","value","2019"
"COL","Colombia","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"COL","Colombia","svy_labr",2023,"Labor Force Survey","value","2023"
"COM","Comoros","cen_popu",2017,"Population & Housing census","value","2017"
"COM","Comoros","svy_hlth",2012,"Health/Demographic survey","value","2012"
"COM","Comoros","cen_agri",2004,"Agriculture census","value","2004"
"COM","Comoros","svy_agri",,"Agriculture survey","value",
"COM","Comoros","cen_bizz",,"Business/establishment census","value",
"COM","Comoros","svy_bizz",,"Business/establishment survey","value",
"COM","Comoros","svy_hous",2019,"Household Survey on income/consumption/etc.","value","2019"
"COM","Comoros","svy_labr",2021,"Labor Force Survey","value","2021"
"COG","Congo","cen_popu",2007,"Population & Housing census","value","2007"
"COG","Congo","svy_hlth",2014,"Health/Demographic survey","value","2014"
"COG","Congo","cen_agri",2015,"Agriculture census","value","2015"
"COG","Congo","svy_agri",,"Agriculture survey","value",
"COG","Congo","cen_bizz",,"Business/establishment census","value",
"COG","Congo","svy_bizz",,"Business/establishment survey","value",
"COG","Congo","svy_hous",2011,"Household Survey on income/consumption/etc.","value","2011"
"COG","Congo","svy_labr",2009,"Labor Force Survey","value","2009"
"CRI","Costa Rica","cen_popu",2022,"Population & Housing census","value","2022"
"CRI","Costa Rica","svy_hlth",2018,"Health/Demographic survey","value","2018"
"CRI","Costa Rica","cen_agri",2014,"Agriculture census","value","2014"
"CRI","Costa Rica","svy_agri",2019,"Agriculture survey","value","2019"
"CRI","Costa Rica","cen_bizz",,"Business/establishment census","value",
"CRI","Costa Rica","svy_bizz",2017,"Business/establishment survey","value","2017"
"CRI","Costa Rica","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"CRI","Costa Rica","svy_labr",2023,"Labor Force Survey","value","2023"
"HRV","Croatia","cen_popu",2021,"Population & Housing census","value","2021"
"HRV","Croatia","svy_hlth",2019,"Health/Demographic survey","value","2019"
"HRV","Croatia","cen_agri",2020,"Agriculture census","value","2020"
"HRV","Croatia","svy_agri",2020,"Agriculture survey","value","2020"
"HRV","Croatia","cen_bizz",,"Business/establishment census","value",
"HRV","Croatia","svy_bizz",2019,"Business/establishment survey","value","2019"
"HRV","Croatia","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"HRV","Croatia","svy_labr",2018,"Labor Force Survey","value","2018"
"CUB","Cuba","cen_popu",2002,"Population & Housing census","value","2002"
"CUB","Cuba","svy_hlth",2019,"Health/Demographic survey","value","2019"
"CUB","Cuba","cen_agri",,"Agriculture census","value",
"CUB","Cuba","svy_agri",,"Agriculture survey","value",
"CUB","Cuba","cen_bizz",,"Business/establishment census","value",
"CUB","Cuba","svy_bizz",,"Business/establishment survey","value",
"CUB","Cuba","svy_hous",,"Household Survey on income/consumption/etc.","value",
"CUB","Cuba","svy_labr",,"Labor Force Survey","value",
"CUW","Curaçao","cen_popu",,"Population & Housing census","value",
"CUW","Curaçao","svy_hlth",,"Health/Demographic survey","value",
"CUW","Curaçao","cen_agri",,"Agriculture census","value",
"CUW","Curaçao","svy_agri",,"Agriculture survey","value",
"CUW","Curaçao","cen_bizz",,"Business/establishment census","value",
"CUW","Curaçao","svy_bizz",,"Business/establishment survey","value",
"CUW","Curaçao","svy_hous",,"Household Survey on income/consumption/etc.","value",
"CUW","Curaçao","svy_labr",,"Labor Force Survey","value",
"CYP","Cyprus","cen_popu",2021,"Population & Housing census","value","2021"
"CYP","Cyprus","svy_hlth",2019,"Health/Demographic survey","value","2019"
"CYP","Cyprus","cen_agri",2020,"Agriculture census","value","2020"
"CYP","Cyprus","svy_agri",2020,"Agriculture survey","value","2020"
"CYP","Cyprus","cen_bizz",,"Business/establishment census","value",
"CYP","Cyprus","svy_bizz",2021,"Business/establishment survey","value","2021"
"CYP","Cyprus","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"CYP","Cyprus","svy_labr",2023,"Labor Force Survey","value","2023"
"CZE","Czechia","cen_popu",2021,"Population & Housing census","value","2021"
"CZE","Czechia","svy_hlth",2019,"Health/Demographic survey","value","2019"
"CZE","Czechia","cen_agri",2020,"Agriculture census","value","2020"
"CZE","Czechia","svy_agri",2020,"Agriculture survey","value","2020"
"CZE","Czechia","cen_bizz",,"Business/establishment census","value",
"CZE","Czechia","svy_bizz",2021,"Business/establishment survey","value","2021"
"CZE","Czechia","svy_hous",2022,"Household Survey on income/consumption/etc.","value","2022"
"CZE","Czechia","svy_labr",2022,"Labor Force Survey","value","2022"
"CIV","Côte d'Ivoire","cen_popu",2021,"Population & Housing census","value","2021"
